epoch,loss,val_loss
0,68.59471893310547,68.30508422851562
1,67.99633026123047,67.71420288085938
2,67.4126968383789,67.13799285888672
3,66.84259796142578,66.57402038574219
4,66.28491973876953,66.02228546142578
5,65.73873901367188,65.48239135742188
6,65.2032699584961,64.95178985595703
7,64.6776351928711,64.43157196044922
8,64.16120147705078,63.91935348510742
9,63.65359115600586,63.41583251953125
10,63.154396057128906,62.92164993286133
11,62.66315841674805,62.433921813964844
12,62.179378509521484,61.95391845703125
13,61.70272445678711,61.480926513671875
14,61.23295211791992,61.01457977294922
15,60.76966094970703,60.55467987060547
16,60.3126220703125,60.10064697265625
17,59.86147689819336,59.65244674682617
18,59.41592788696289,59.209564208984375
19,58.97587585449219,58.77238845825195
20,58.54115295410156,58.3404426574707
21,58.1117057800293,57.91359329223633
22,57.687313079833984,57.491676330566406
23,57.26774597167969,57.07444381713867
24,56.85264587402344,56.66162872314453
25,56.4420166015625,56.25327682495117
26,56.03589630126953,55.84934616088867
27,55.63402557373047,55.44945526123047
28,55.23603820800781,55.05341720581055
29,54.84189987182617,54.66123580932617
30,54.45170211791992,54.27302169799805
31,54.0652961730957,53.888427734375
32,53.68233871459961,53.50715255737305
33,53.302730560302734,53.12919998168945
34,52.926448822021484,52.754539489746094
35,52.55327606201172,52.38298797607422
36,52.18340301513672,52.01470947265625
37,51.816532135009766,51.64929962158203
38,51.452701568603516,51.2871208190918
39,51.09212112426758,50.92808532714844
40,50.734493255615234,50.57184600830078
41,50.3796272277832,50.21831130981445
42,50.027339935302734,49.86729049682617
43,49.67754364013672,49.51875305175781
44,49.33034133911133,49.172821044921875
45,48.985572814941406,48.829288482666016
46,48.643287658691406,48.488258361816406
47,48.30340576171875,48.14946746826172
48,47.96571350097656,47.812965393066406
49,47.63037109375,47.478797912597656
50,47.29731369018555,47.14690017700195
51,46.966495513916016,46.817291259765625
52,46.638084411621094,46.490074157714844
53,46.3119010925293,46.16490173339844
54,45.98768997192383,45.84172439575195
55,45.66538619995117,45.5203857421875
56,45.34489059448242,45.200843811035156
57,45.0263671875,44.883392333984375
58,44.70988845825195,44.56797409057617
59,44.39540100097656,44.2544059753418
60,44.082763671875,43.94287872314453
61,43.77217483520508,43.6331787109375
62,43.463130950927734,43.32497787475586
63,43.1557502746582,43.01850128173828
64,42.85009002685547,42.71379852294922
