epoch,binary_accuracy,loss
0,0.49884527921676636,0.7687438726425171
0,0.47921478748321533,0.7422252893447876
1,0.5034642219543457,0.7154279351234436
2,0.5005773901939392,0.7087534070014954
3,0.5121247172355652,0.7016143202781677
4,0.517320990562439,0.699562132358551
5,0.517320990562439,0.6944690942764282
6,0.5329099297523499,0.6925659775733948
7,0.5127021074295044,0.69822758436203
8,0.5213626027107239,0.6936896443367004
9,0.511547327041626,0.6948230862617493
10,0.505773663520813,0.6934908032417297
11,0.5190531015396118,0.6917049884796143
12,0.5213626027107239,0.6922476887702942
13,0.5184757709503174,0.6959800124168396
14,0.5282909870147705,0.6907855868339539
15,0.5415704250335693,0.6902210712432861
16,0.5334873199462891,0.6916593909263611
17,0.5207852125167847,0.6938340067863464
18,0.519630491733551,0.6884056329727173
19,0.5092378854751587,0.6931518912315369
20,0.5236720442771912,0.6900708675384521
21,0.5329099297523499,0.6877804398536682
22,0.5121247172355652,0.6906843781471252
23,0.5340646505355835,0.6857153177261353
24,0.5277135968208313,0.6856377720832825
25,0.5323325395584106,0.685359001159668
26,0.53695148229599,0.6833772659301758
27,0.5473440885543823,0.6855368614196777
28,0.5571593642234802,0.6843597888946533
29,0.5334873199462891,0.681858479976654
30,0.5438799262046814,0.679148256778717
31,0.5756350755691528,0.6708509922027588
32,0.5629330277442932,0.6732741594314575
33,0.587759792804718,0.6621445417404175
34,0.5871824622154236,0.6565993428230286
35,0.601616621017456,0.6613947749137878
36,0.5848729610443115,0.6558334827423096
37,0.5860277414321899,0.6631701588630676
38,0.6316397190093994,0.6440305113792419
39,0.6333718299865723,0.635798454284668
40,0.6501154899597168,0.6233619451522827
41,0.6616628170013428,0.6269643902778625
42,0.6703233122825623,0.6146833896636963
43,0.6714780330657959,0.6048194169998169
44,0.6599307060241699,0.6049204468727112
45,0.6639722585678101,0.603945255279541
46,0.6824480295181274,0.6004506945610046
47,0.6726328134536743,0.5919964909553528
48,0.6749422550201416,0.5919581055641174
49,0.699191689491272,0.5816047191619873
50,0.6801385879516602,0.5964086651802063
51,0.7165126800537109,0.5727717280387878
52,0.6974595785140991,0.5789980292320251
53,0.7153579592704773,0.5699512362480164
54,0.7147806286811829,0.5711358189582825
55,0.7113164067268372,0.5552060008049011
56,0.7090069055557251,0.5620757937431335
57,0.7055427432060242,0.5777155160903931
58,0.7182447910308838,0.5692546963691711
59,0.7009238004684448,0.5653928518295288
60,0.7315242290496826,0.5558980107307434
61,0.730369508266449,0.5534190535545349
62,0.7534642219543457,0.53408282995224
63,0.7523094415664673,0.5247469544410706
64,0.7603926062583923,0.5177105069160461
65,0.7534642219543457,0.5404596328735352
66,0.7390300035476685,0.5288441777229309
67,0.7523094415664673,0.5166809558868408
68,0.7459584474563599,0.5344255566596985
69,0.7453810572624207,0.5207369923591614
70,0.7713626027107239,0.5150861144065857
71,0.7794457077980042,0.4960864782333374
72,0.775404155254364,0.5120998024940491
73,0.7725173234939575,0.513190507888794
74,0.7800230979919434,0.4847818911075592
75,0.7586604952812195,0.5277621150016785
76,0.7627021074295044,0.5348446369171143
77,0.7857967615127563,0.49224910140037537
78,0.7829099297523499,0.4827348291873932
79,0.7852193713188171,0.4907625913619995
80,0.8267898559570312,0.44523921608924866
81,0.8152424693107605,0.45526501536369324
82,0.7875288724899292,0.47797882556915283
83,0.775404155254364,0.5038036108016968
84,0.7881062626838684,0.46915268898010254
85,0.7990761995315552,0.46669802069664
86,0.7782909870147705,0.4953480660915375
87,0.8094688057899475,0.4595180153846741
88,0.8117783069610596,0.44702327251434326
89,0.8192840814590454,0.431828111410141
90,0.8048498630523682,0.44975802302360535
91,0.8048498630523682,0.4622175097465515
92,0.7961893677711487,0.4719167947769165
93,0.8002309203147888,0.4677024185657501
94,0.8077366948127747,0.440262109041214
95,0.8146651387214661,0.45391571521759033
96,0.8158198595046997,0.4322131276130676
97,0.8192840814590454,0.4399280846118927
98,0.820438802242279,0.44286879897117615
99,0.8250577449798584,0.42011210322380066
100,0.8383371829986572,0.40743952989578247
101,0.7973440885543823,0.48225513100624084
102,0.8077366948127747,0.4500010311603546
103,0.8412240147590637,0.39877641201019287
