epoch,accu,loss,val_accu,val_loss
0,0.41004782915115356,9.138056755065918,0.46399998664855957,5.620928764343262
1,0.4209569990634918,5.760399341583252,0.5839999914169312,3.71826434135437
2,0.391865998506546,3.9915013313293457,0.5839999914169312,5.089107513427734
3,0.4227750599384308,2.582212448120117,0.30400002002716064,2.1035687923431396
4,0.46181824803352356,2.519934892654419,0.3840000033378601,3.569559335708618
5,0.42698562145233154,2.107595443725586,0.3760000169277191,1.2377095222473145
6,0.4222966134548187,1.4909327030181885,0.36799997091293335,1.3583160638809204
7,0.4457416534423828,1.4710123538970947,0.3199999928474426,2.297729730606079
8,0.45177027583122253,1.734789490699768,0.3919999897480011,1.9858598709106445
9,0.392727255821228,2.046281337738037,0.5680000185966492,1.3726093769073486
10,0.41789472103118896,2.406181573867798,0.36799997091293335,1.4537721872329712
11,0.4371291399002075,1.3732085227966309,0.36799997091293335,1.7325122356414795
12,0.43856456875801086,1.4326889514923096,0.41600003838539124,1.1256076097488403
13,0.44459325075149536,1.2446987628936768,0.43199998140335083,0.9899887442588806
14,0.4390430450439453,1.1559516191482544,0.5759999752044678,1.2404898405075073
15,0.44028711318969727,1.1396483182907104,0.4399999976158142,1.0346931219100952
16,0.4307176470756531,1.111754298210144,0.5199999809265137,1.025612473487854
17,0.4494737386703491,1.1450098752975464,0.4959999918937683,0.9785436391830444
18,0.44468897581100464,1.0890783071517944,0.4479999542236328,1.0730946063995361
19,0.45846882462501526,1.1249802112579346,0.4000000059604645,1.0300559997558594
20,0.40995216369628906,1.2617714405059814,0.5760000348091125,1.3057160377502441
21,0.4602870047092438,1.1089110374450684,0.35199999809265137,1.5330036878585815
22,0.43665072321891785,1.1061893701553345,0.5600000619888306,1.2326250076293945
23,0.43665072321891785,1.1372570991516113,0.527999997138977,1.2027573585510254
24,0.4390430450439453,1.3615577220916748,0.6159999966621399,1.5058337450027466
25,0.41004788875579834,4.311583518981934,0.5519999861717224,4.4361138343811035
26,0.4457416236400604,3.0836238861083984,0.4959999918937683,1.3089220523834229
27,0.41511955857276917,1.419577956199646,0.5519999265670776,0.9902248978614807
28,0.4409569501876831,1.9579401016235352,0.5359999537467957,1.4990949630737305
29,0.4463157653808594,1.2855215072631836,0.5519999265670776,0.9810318350791931
