epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9834558963775635,0.0524880588054657,1.0,0.0006589756230823696
1,1.0,0.002489935141056776,1.0,3.524029307300225e-05
2,1.0,0.0009895025286823511,1.0,8.112788236758206e-06
3,1.0,0.002198688453063369,1.0,2.1991652374708792e-06
4,1.0,0.0014608369674533606,1.0,8.821473329589935e-07
5,1.0,0.0015227413969114423,1.0,4.854197754866618e-07
6,1.0,0.0002797086490318179,1.0,1.3923641972724e-07
7,0.9963235259056091,0.0038495142944157124,1.0,4.959106547630654e-08
8,1.0,0.000326657434925437,1.0,5.6266777903601906e-08
9,1.0,0.001181142870336771,1.0,9.536743617033494e-10
10,1.0,0.00010159355588257313,1.0,0.0
11,1.0,0.00015933353279251605,1.0,0.0
12,1.0,0.0011922717094421387,1.0,0.0
13,1.0,0.00010731891234172508,1.0,0.0
14,1.0,0.0003974182181991637,1.0,0.0
15,0.998161792755127,0.0018649958074092865,1.0,0.0
16,0.998161792755127,0.00352669321000576,1.0,0.0
17,1.0,0.0006503229378722608,1.0,0.0
18,1.0,0.0011195765109732747,1.0,0.0
19,1.0,2.7651945856632665e-05,1.0,0.0
20,0.998161792755127,0.0033189118839800358,1.0,0.0
21,0.998161792755127,0.0050076209008693695,1.0,0.0
22,1.0,0.00107330281753093,1.0,0.0
23,1.0,0.0007395149441435933,1.0,0.0
24,1.0,4.947894558426924e-05,1.0,0.0
25,1.0,5.232937110122293e-05,1.0,0.0
26,1.0,3.7651610909961164e-05,1.0,0.0
27,1.0,6.705710984533653e-05,1.0,0.0
28,1.0,2.4128976292558946e-05,1.0,0.0
29,1.0,2.2913654902367853e-05,1.0,0.0
30,1.0,9.284447151003405e-05,1.0,0.0
31,1.0,0.001249321037903428,1.0,0.0
32,1.0,0.0012933959951624274,1.0,0.0
33,0.998161792755127,0.012721303850412369,1.0,0.0
34,1.0,0.0013220374239608645,1.0,1.1825558487998933e-07
35,1.0,0.0006727493600919843,1.0,3.6239619305433735e-08
36,1.0,0.0008471545297652483,1.0,1.907348501362094e-09
37,0.998161792755127,0.001675990759395063,1.0,0.0
38,1.0,0.0012802387354895473,1.0,0.0
39,1.0,0.0005373558378778398,1.0,0.0
40,1.0,0.0015157591551542282,1.0,0.0
41,1.0,0.0010725336614996195,1.0,0.0
42,1.0,0.00045759641216136515,1.0,0.0
43,1.0,4.02144250983838e-05,1.0,0.0
44,1.0,4.800265287485672e-06,1.0,0.0
45,1.0,5.72864810237661e-05,1.0,0.0
46,1.0,5.426940697361715e-05,1.0,0.0
47,1.0,0.0001176529549411498,1.0,0.0
48,1.0,1.869050902314484e-05,1.0,0.0
49,1.0,0.00016045953088905662,1.0,0.0
50,1.0,3.432904850342311e-05,1.0,0.0
51,1.0,0.0005219330778345466,1.0,0.0
52,0.998161792755127,0.0021664288360625505,1.0,0.0
53,0.998161792755127,0.0016292609507218003,1.0,0.0
54,1.0,0.00041806165245361626,1.0,0.0
55,1.0,4.898205588688143e-06,1.0,0.0
56,1.0,1.94053391169291e-05,1.0,0.0
57,1.0,6.989938810875174e-06,1.0,0.0
58,1.0,0.0004821960465051234,1.0,0.0
59,1.0,7.566552540083649e-06,1.0,0.0
60,1.0,2.51363107963698e-05,1.0,0.0
61,1.0,9.618444892112166e-06,1.0,0.0
62,0.998161792755127,0.006032969336956739,1.0,0.0
63,1.0,6.176975148264319e-05,1.0,0.0
64,0.998161792755127,0.0018210530979558825,1.0,0.0
65,1.0,0.0002725243102759123,1.0,0.0
66,1.0,0.0003389208868611604,1.0,0.0
67,1.0,5.418859927885933e-06,1.0,0.0
68,1.0,5.392086677602492e-06,1.0,0.0
69,1.0,9.438163942832034e-06,1.0,0.0
70,1.0,0.00013722831499762833,1.0,0.0
71,1.0,0.0004462815704755485,1.0,0.0
72,1.0,2.5062740860448685e-06,1.0,0.0
73,1.0,3.944315540138632e-05,1.0,0.0
74,1.0,1.9723472632904304e-06,1.0,0.0
