epoch,accuracy,loss,val_accuracy,val_loss
0,0.5909090638160706,0.6830012202262878,0.5363636612892151,0.6911361217498779
1,0.6863636374473572,0.6472514867782593,0.6363636255264282,0.6675977110862732
2,0.7397727370262146,0.6105491518974304,0.7045454382896423,0.6347622871398926
3,0.7920454740524292,0.5853927731513977,0.8136363625526428,0.6233222484588623
4,0.8102272748947144,0.558854341506958,0.6181818246841431,0.5787261724472046
5,0.824999988079071,0.537502110004425,0.800000011920929,0.532310426235199
6,0.8306818008422852,0.5314090847969055,0.8363636136054993,0.4804646968841553
7,0.8443182110786438,0.5166504979133606,0.8090909123420715,0.4748336374759674
8,0.8500000238418579,0.4889054596424103,0.8090909123420715,0.4905011057853699
9,0.8409090638160706,0.48967140913009644,0.7863636612892151,0.49603235721588135
10,0.8454545736312866,0.4782261848449707,0.8454545736312866,0.43707332015037537
11,0.8715909123420715,0.4670996367931366,0.8454545736312866,0.43652933835983276
12,0.8522727489471436,0.46555519104003906,0.8500000238418579,0.4622657895088196
13,0.8761363625526428,0.46240389347076416,0.8590909242630005,0.4302743673324585
14,0.8500000238418579,0.4602968096733093,0.8363636136054993,0.4525902271270752
15,0.8693181872367859,0.45023804903030396,0.8681818246841431,0.42234787344932556
16,0.8829545378684998,0.43097779154777527,0.831818163394928,0.45958587527275085
17,0.8647727370262146,0.448446124792099,0.8454545736312866,0.44091296195983887
18,0.8806818127632141,0.43205857276916504,0.8409090638160706,0.445625364780426
19,0.875,0.442764550447464,0.8409090638160706,0.4219140112400055
20,0.8795454502105713,0.4349603056907654,0.8590909242630005,0.41250720620155334
21,0.8590909242630005,0.4508700668811798,0.8500000238418579,0.4263865351676941
22,0.8784090876579285,0.44976484775543213,0.8363636136054993,0.440715491771698
23,0.8806818127632141,0.4219364821910858,0.8727272748947144,0.41063931584358215
24,0.8999999761581421,0.419942170381546,0.8500000238418579,0.4121624231338501
25,0.8852272629737854,0.4184218645095825,0.8954545259475708,0.39238041639328003
