epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8404561877250671,0.1218942254781723,0.856249988079071,0.10665752738714218
1,0.8536726236343384,0.11014525592327118,0.856249988079071,0.10722339153289795
2,0.8544548749923706,0.10993442684412003,0.856249988079071,0.1097702607512474
3,0.855154812335968,0.10988496989011765,0.856249988079071,0.10688634216785431
4,0.854907751083374,0.1091112270951271,0.856249988079071,0.10691376775503159
5,0.8551136255264282,0.10943036526441574,0.856249988079071,0.10654797405004501
6,0.8552371263504028,0.10867214947938919,0.856249988079071,0.106619693338871
7,0.8552371263504028,0.10865086317062378,0.856249988079071,0.1064852699637413
8,0.8552371263504028,0.10858027637004852,0.856249988079071,0.10680241882801056
9,0.8552371263504028,0.10875289142131805,0.856249988079071,0.10666535049676895
10,0.8552371263504028,0.10879845172166824,0.856249988079071,0.10675330460071564
11,0.8552371263504028,0.10863064974546432,0.856249988079071,0.10650922358036041
12,0.8552371263504028,0.10875611752271652,0.856249988079071,0.10706136375665665
13,0.8552371263504028,0.10857658088207245,0.856249988079071,0.10640790313482285
14,0.8552371263504028,0.10859420895576477,0.856249988079071,0.10636242479085922
15,0.8552371263504028,0.10829853266477585,0.856249988079071,0.10695656388998032
16,0.8552371263504028,0.10828975588083267,0.856249988079071,0.10796662420034409
17,0.8552371263504028,0.10890670865774155,0.856249988079071,0.10728738456964493
18,0.8552371263504028,0.10854759812355042,0.856249988079071,0.10645551979541779
19,0.8552371263504028,0.10841737687587738,0.856249988079071,0.106400266289711
20,0.8552371263504028,0.10887525230646133,0.856249988079071,0.10639110952615738
21,0.8552371263504028,0.10839390754699707,0.856249988079071,0.10648714005947113
22,0.8552371263504028,0.10828889161348343,0.856249988079071,0.10665198415517807
23,0.8552371263504028,0.10846427828073502,0.856249988079071,0.10657632350921631
24,0.8552371263504028,0.10825232416391373,0.856249988079071,0.10632870346307755
25,0.8552371263504028,0.10864444822072983,0.856249988079071,0.10754223167896271
26,0.8552371263504028,0.10857052356004715,0.856249988079071,0.10757515579462051
27,0.8552371263504028,0.10857157409191132,0.856249988079071,0.10616771131753922
28,0.8552371263504028,0.10840513557195663,0.856249988079071,0.10608236491680145
29,0.8552371263504028,0.10830841958522797,0.856249988079071,0.1063060313463211
30,0.8552371263504028,0.10849160701036453,0.856249988079071,0.10626721382141113
31,0.8552371263504028,0.1083778440952301,0.856249988079071,0.10623280704021454
32,0.8552371263504028,0.108383908867836,0.856249988079071,0.10655637085437775
33,0.8552371263504028,0.10833550989627838,0.856249988079071,0.1062430590391159
34,0.8552371263504028,0.10849393159151077,0.856249988079071,0.10621307045221329
35,0.8552371263504028,0.10857610404491425,0.856249988079071,0.10627584159374237
36,0.8552371263504028,0.1084698736667633,0.856249988079071,0.10672195255756378
37,0.8552371263504028,0.108313649892807,0.856249988079071,0.10661604255437851
38,0.8552371263504028,0.10824086517095566,0.856249988079071,0.10716895014047623
39,0.8552371263504028,0.10827846080064774,0.856249988079071,0.1067378968000412
40,0.8552371263504028,0.1084107905626297,0.856249988079071,0.10621480643749237
41,0.8552371263504028,0.10838454216718674,0.856249988079071,0.10672719776630402
42,0.8552371263504028,0.10831646621227264,0.856249988079071,0.10704152286052704
43,0.8552371263504028,0.10828074812889099,0.856249988079071,0.10648907721042633
